Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,cell_type,Normalized_Name
40393289311_sort.swc,5578,80258800.0,5,492,987,496,180610.0,258784.0,60027,344.352,1688180.0,1999060000.0,468000000000.0,180450.0,213001.0,51,0.935361,4.65046,0.826217,103.68,98.173,1.47098,interneuron,40393289311
4608879344_sort.swc,39954,442690000.0,5,2587,5180,2594,847170.0,755230.0,173415,453.656,12208400.0,18096900000.0,3930000000000.0,715842.0,820891.0,343,0.929743,6.71293,0.833243,100.431,94.7707,1.70106,interneuron,4608879344
6910245639_sort.swc,3391,172515000.0,4,81,164,84,275870.0,104220.0,53427,721.616,1106710.0,2768600000.0,926000000000.0,255824.0,325317.0,26,0.918777,19.6707,0.907175,111.879,100.495,1.18988,pyramidal neuron,6910245639
2831222083_sort.swc,22166,44602400.0,5,1769,3548,1780,392570.0,421220.0,174504,461.859,6691550.0,9937280000.0,2360000000000.0,316124.0,358345.0,160,0.925113,5.24718,0.831335,101.186,94.499,1.71166,pyramidal neuron,2831222083
4859052550_sort.swc,3744,78562400.0,4,83,168,86,237380.0,152830.0,53163,229.551,1197260.0,981892000.0,185000000000.0,233647.0,304309.0,34,0.931625,21.2798,0.963843,100.107,88.898,1.34175,pyramidal neuron,4859052550
5393799869_sort.swc,14040,280606000.0,6,522,1049,528,369690.0,442080.0,152658,613.304,4434750.0,9072740000.0,2680000000000.0,321301.0,401631.0,67,0.932188,12.3832,0.839523,104.214,93.3082,1.43177,pyramidal neuron,5393799869
31184629116_sort.swc,28035,213428000.0,5,1694,3392,1699,493150.0,581700.0,124146,453.66,8618730.0,13215800000.0,4390000000000.0,455310.0,582083.0,224,0.933967,7.26474,0.833331,100.547,94.0716,1.60256,pyramidal neuron,31184629116
5744734285_sort.swc,28655,45450600.0,2,2099,4204,2106,690440.0,444320.0,173910,435.798,8659770.0,12072300000.0,2480000000000.0,594191.0,726297.0,300,0.933181,5.81589,0.832325,101.602,95.1942,1.80149,interneuron,5744734285
5507542569_sort.swc,34485,113341000.0,1,2085,4175,2090,491070.0,474630.0,173613,555.018,10595300.0,19461000000.0,9110000000000.0,313435.0,487636.0,181,0.933778,7.25964,0.839883,101.305,95.1043,1.63974,pyramidal neuron,5507542569
5159205830_sort.swc,17618,149584000.0,3,896,1795,900,369320.0,387970.0,172821,488.61,5448010.0,8770690000.0,2920000000000.0,298121.0,445745.0,76,0.92561,8.81448,0.821952,100.301,94.2498,1.63093,pyramidal neuron,5159205830
1072196732_sort.swc,1612,145308000.0,3,26,53,28,102790.0,116736.0,54285,684.953,533304.0,1365450000.0,1010000000000.0,83497.2,107949.0,12,0.926522,29.3962,0.855768,111.009,77.9621,1.18077,interneuron,1072196732
