Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
33809770775_sort.swc,14977,253745000.0,4,448,900,453,1271170,438850,114972,521.901,4719250,8079590000,2220950000000.0,1016550.0,1154140.0,134,0.929816,15.64,0.83157,103.628,93.4981,1.58679,33809770775
33866261995_sort.swc,6462,204163000.0,2,353,707,355,164990,222200,114576,656.921,2034290,4489440000,1788390000000.0,212993.0,363642.0,103,0.931089,8.13861,0.806282,103.885,94.7092,1.32886,33866261995
3387607640_sort.swc,79003,229011000.0,6,6014,12065,6052,660760,633310,174207,393.821,23821100,29910900000,5274860000000.0,481032.0,579585.0,425,0.930338,5.54803,0.838536,101.107,95.2198,2.09446,3387607640
3399449626_sort.swc,48120,375647000.0,10,3509,7039,3531,877440,740732,174240,389.575,14628500,19120000000,4205840000000.0,847619.0,986067.0,315,0.925474,5.83606,0.820719,100.783,94.9367,1.9174,3399449626
34081961875_sort.swc,27063,183037000.0,3,1885,3772,1888,715360,280710,121803,553.166,8254110,15089000000,5634370000000.0,518059.0,800479.0,350,0.918057,6.17444,0.847088,102.148,94.5836,1.61897,34081961875
34214349606_sort.swc,32312,203922000.0,6,2216,4440,2225,772930,309760,115236,586.533,9970150,19037300000,6242570000000.0,446505.0,573228.0,319,0.919827,6.27725,0.841665,101.331,94.6886,1.67531,34214349606
3427483698_sort.swc,18363,177540000.0,4,995,1995,1001,453820,393408,167442,395.774,5664560,7294690000,1396950000000.0,309607.0,511095.0,150,0.926298,8.20401,0.822401,101.958,95.205,1.6556,3427483698
3428023111_sort.swc,16709,98919800.0,4,969,1943,975,660920,749340,158202,471.987,5136860,7929240000,2010530000000.0,651772.0,746234.0,245,0.921411,7.59907,0.860704,100.053,93.8916,1.52146,3428023111
3461883301_sort.swc,14789,183345000.0,7,1106,2224,1119,366440,307010,54879,377.207,4492320,5790530000,1474570000000.0,251546.0,342931.0,247,0.928492,5.64928,0.815365,101.022,96.1949,1.62769,3461883301
3471212583_sort.swc,4105,149329000.0,3,194,389,196,136320,177890,174405,563.626,1292080,2574760000,1155640000000.0,213872.0,272214.0,65,0.926031,9.55013,0.835921,100.532,92.9166,1.19127,3471212583
3499641299_sort.swc,6952,368251000.0,7,234,473,240,392130,416194,156156,538.318,2259020,3986080000,792755000000.0,439639.0,477052.0,46,0.928501,13.6956,0.844102,102.238,93.4564,1.2632,3499641299
