Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Cluster
4636547689_sort.swc,9129,224.805,5,828,1659,832,633.99,348.06,172.557,0.536936,2864.96,5122.59,1362.57,469.46,571.229,196,0.972751,4.50211,0.842145,102.123,96.9532,1.09604,0
4668246327_sort.swc,7594,127.88,5,1055,2116,1062,339.42,308.896,107.316,0.556934,2352.44,4428.89,1390.78,235.102,323.541,183,0.979985,2.58837,0.801755,99.9939,95.9156,1.11376,3
4681607296_sort.swc,27451,284.525,5,3448,6911,3464,831.46,665.37,173.91,0.543646,8424.66,14892.1,4238.18,691.344,814.801,458,0.978176,2.97193,0.833971,100.714,96.5442,1.16181,1
4698296466_sort.swc,30721,279.329,5,6407,12864,6458,517.57,673.53,162.723,0.687192,9171.65,20556.4,6930.04,430.003,547.478,493,0.982174,1.38806,0.842018,100.308,97.8308,1.1779,1
47082152289_sort.swc,17572,537.199,11,742,1494,753,396.89,649.922,115.434,0.628085,5681.65,12028.1,3451.55,394.688,453.636,52,0.967822,10.761,0.820525,101.421,92.4298,1.15626,4
4767928596_sort.swc,17494,193.713,7,1135,2275,1141,624.55,625.472,173.349,0.484771,5518.66,8711.45,1807.67,559.854,672.494,163,0.97271,6.68923,0.825768,101.516,95.6389,1.12402,0
4771475409_sort.swc,34558,531.486,10,2860,5732,2873,1182.53,754.98,174.174,0.581439,10917.4,20662.2,5131.94,992.733,1136.03,303,0.970069,5.02879,0.824533,101.569,96.5111,1.19474,1
4782922802_sort.swc,12147,75.0551,7,1020,2046,1027,721.63,604.89,173.514,0.503464,3834.97,6291.31,1346.77,702.911,806.168,217,0.973832,4.93646,0.820209,102.506,97.3816,1.15544,0
4784806714_sort.swc,19093,154.603,5,888,1779,892,657.76,571.72,173.778,0.557803,6080.42,11291.4,3387.01,506.894,636.105,104,0.967245,9.73187,0.82517,102.213,95.0798,1.17225,5
48152580975_sort.swc,4203,165.584,4,647,1299,653,147.9,340.83,55.374,0.656382,1310.43,2897.45,853.152,278.458,336.699,209,0.977108,2.2348,0.834163,101.332,96.5766,1.12213,3
4827864697_sort.swc,31238,437.478,5,4126,8262,4137,581.06,624.64,173.943,0.644959,9607.2,20122.3,6728.26,513.754,584.808,280,0.977353,2.7808,0.84199,100.492,96.9257,1.14814,1
4858979688_sort.swc,13310,335.153,7,2094,4206,2113,546.17,396.54,82.335,0.536445,4066.31,7119.55,1757.34,310.66,404.379,279,0.980927,2.16429,0.846546,101.032,97.7228,1.19736,3
4915106384_sort.swc,22736,244.384,7,2552,5113,2562,904.99,832.992,172.326,0.558824,7068.63,12717.5,2845.87,805.664,945.684,332,0.978084,3.44651,0.822426,100.177,95.7067,1.13835,5
